,text
0,"RT : INTERPOL warns of financial fraud linked to COVID-19 
Criminals taking advantage of coronavirus anxiety to defraud victi…"
1,Jujuan Carr compared his experience at UNCW to what NBA players experienced playing in the COVID-19 bubble of 2020.… https://t.co/8NWmiKk1Gt
2,"How are you coping right now? It’s likely you’re feeling some level of anxiety or stress right now, as you deal wit… https://t.co/IhPTz1eYNa"
3,RT : The #CalHOPECourageAward is sharing inspiring stories of student-athletes at California colleges overcoming the stress…
4,At times I feel bad when our 'Padhe Likhe Gawar' teenagers go out for clubbing post pictures or videos but then the… https://t.co/dk98laIWYn
5,"Another new study on the same topic.
It found ""slight but statistically significant increases in weekly and daily s… https://t.co/04b1seruIL"
6,RT : The data comes from the Centre for Addiction and Mental Health’s ninth national survey with technology company Delvinia on…
7,The Connection Between Mental Health and COVID-19 https://t.co/VhegBb1aBT #mentalhealth #mooddisorder #COVID19… https://t.co/rScD3GtCdY
8, My concern and agreeable concern for teachers and students who are truly trying at Anacostia high… https://t.co/j3gBZ6WEpu
9,"RT : Raising Teens in New Age of Anxiety: Great to see my feature on Dr. Erica Komisar's new book, Chicken Little, The Sky Isn't…"
10,RT : We live in a society (Lebanon and the middle east in general) where social ties are appreciated and encouraged. By socially d…
11,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
12,The #CalHOPECourageAward is sharing inspiring stories of student-athletes at California colleges overcoming the str… https://t.co/NGJygUd6Be
13,We live in a society (Lebanon and the middle east in general) where social ties are appreciated and encouraged. By… https://t.co/swdjosrO2O
14,"RT : As someone who has suffered with severe OCD, I believe this. The panic, lockdowns, &amp; restrictions to COVID are one-dimensi…"
15,"As someone who has suffered with severe OCD, I believe this. The panic, lockdowns, &amp; restrictions to COVID are one-… https://t.co/TmIwMYyFKl"
16,RT : TODAY! 's SWCC is hosting a virtual 4-week pilot group on coping with COVID-19. Join psychology resident Michae…
17,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
18,We have COVID-19 support groups &amp; other free crisis counseling programs for the community. These are intended to te… https://t.co/BiS7orM7ZY
19,"🆕NHS Borders - Working with Alcohol and Anxiety Together
📅Fri 25th Feb, 10am-2pm
👉This half day seminar explores th… https://t.co/cCcOz4NozH"
20,"RT : Worried about staying safe at #school because of #Covid? If you're aged 11-19 and need to talk to someone, text #ChatHealth on…"
21,Every aspect of our daily lives has been affected by Covid-19 in all the different variants. The anxiety caused by… https://t.co/S4S0utfI0P
22,The COVID-19 pandemic brought feelings of stress and anxiety to many people. Those feelings lingered from the early… https://t.co/d7ISOYQ4tZ
23,RT : TODAY! 's SWCC is hosting a virtual 4-week pilot group on coping with COVID-19. Join psychology resident Michae…
24,"RT : Worried about staying safe at #school because of #Covid? If you're aged 11-19 and need to talk to someone, text #ChatHealth on…"
25,"Worried about staying safe at #school because of #Covid? If you're aged 11-19 and need to talk to someone, text… https://t.co/4kSJEXWeS1"
26,The sharp selloff and surprise rally in U.S. stocks on Monday came from market uncertainty caused by rising inflati… https://t.co/RdtjYHPkkl
27,RT : TODAY! 's SWCC is hosting a virtual 4-week pilot group on coping with COVID-19. Join psychology resident Michae…
28,RT : Ways to keep anxiety and sadness from creeping in while you recover from COVID-19: https://t.co/xzL0kmDWLL
29,RT : TODAY! 's SWCC is hosting a virtual 4-week pilot group on coping with COVID-19. Join psychology resident Michae…
30,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
31,"Living with COVID-19 may see employees experiencing a high degree of uncertainty, worry, anxiety, and stress. Take… https://t.co/SnTDN7DXif"
32,RT : TODAY! 's SWCC is hosting a virtual 4-week pilot group on coping with COVID-19. Join psychology resident Michae…
33,"RT : One in four Canadians aged 18 and older experienced symptoms consistent with depression, anxiety or post-traumatic stress…"
34,RT : TODAY! 's SWCC is hosting a virtual 4-week pilot group on coping with COVID-19. Join psychology resident Michae…
35,Don’t let fear and anxiety due to COVID-19 stop you from praying and believing for greater things this year. Learn… https://t.co/flvWenS0V8
36,RT : TODAY! 's SWCC is hosting a virtual 4-week pilot group on coping with COVID-19. Join psychology resident Michae…
37,TODAY! 's SWCC is hosting a virtual 4-week pilot group on coping with COVID-19. Join psychology resident… https://t.co/vbWVQDkDVL
38,"RT : If anxiety around needles is why you haven’t had your #COVID19 vaccine yet, ask for a familiarisation visit at a clinic. Spe…"
39,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
40,"Even with the recent Omicron-fueled surge of coronavirus cases, family travel is rebounding in a big way in the U.S… https://t.co/MZfVRvlYVo"
41,RT : Ways to keep anxiety and sadness from creeping in while you recover from COVID-19: https://t.co/xzL0kmDWLL
42,"RT : If anxiety around needles is why you haven’t had your #COVID19 vaccine yet, ask for a familiarisation visit at a clinic. Spe…"
43,RT : Ways to keep anxiety and sadness from creeping in while you recover from COVID-19: https://t.co/xzL0kmDWLL
44,RT : The data comes from the Centre for Addiction and Mental Health’s ninth national survey with technology company Delvinia on…
45,The data comes from the Centre for Addiction and Mental Health’s ninth national survey with technology company Delv… https://t.co/E5bXhkmrWt
46,RT : Corona pandemic aggravates serious psychological symptoms in victims of aggression. This is the main result of a new study by…
47,"RT : If anxiety around needles is why you haven’t had your #COVID19 vaccine yet, ask for a familiarisation visit at a clinic. Spe…"
48,"If anxiety around needles is why you haven’t had your #COVID19 vaccine yet, ask for a familiarisation visit at a cl… https://t.co/y5haDmB8cw"
49,RT : Ways to keep anxiety and sadness from creeping in while you recover from COVID-19: https://t.co/xzL0kmDWLL
50,Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/8yLXt8tkvG
51,Ways to keep anxiety and sadness from creeping in while you recover from COVID-19: https://t.co/xzL0kmDWLL
52,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
53,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
54,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
55,"RT : Providing care to others during the COVID-19 pandemic can lead to stress, anxiety, fear, and other strong emotions. We are here…"
56,"RT : If you are looking for support for any aspect of #cancer, especially anxiety about reopening and worrying about how you w…"
57,RT : Corona pandemic aggravates serious psychological symptoms in victims of aggression. This is the main result of a new study by…
58,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
59,"RT : Nurses requesting support for anxiety, bereavement, isolation and stress.

https://t.co/yVngFFfLDv"
60,"Nurses requesting support for anxiety, bereavement, isolation and stress.

https://t.co/yVngFFfLDv"
61,Corona pandemic aggravates serious psychological symptoms in victims of aggression. This is the main result of a ne… https://t.co/m1i4DSmpis
62,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
63,RT : Here's one of the 10 best research articles published by the MJA in 2021: Trajectories of depression and anxiety symptoms durin…
