,tweet_id,text,favorite_count,retweet_count,created_at
0,1486052125423681543,"RT : INTERPOL warns of financial fraud linked to COVID-19 
Criminals taking advantage of coronavirus anxiety to defraud victi…",0,1,Tue Jan 25 19:03:30 +0000 2022
1,1486051249921347589,Jujuan Carr compared his experience at UNCW to what NBA players experienced playing in the COVID-19 bubble of 2020.… https://t.co/8NWmiKk1Gt,0,0,Tue Jan 25 19:00:02 +0000 2022
2,1486043982639546372,"How are you coping right now? It’s likely you’re feeling some level of anxiety or stress right now, as you deal wit… https://t.co/IhPTz1eYNa",1,0,Tue Jan 25 18:31:09 +0000 2022
3,1486043451187556353,RT : The #CalHOPECourageAward is sharing inspiring stories of student-athletes at California colleges overcoming the stress…,0,1,Tue Jan 25 18:29:02 +0000 2022
4,1486042974509158400,At times I feel bad when our 'Padhe Likhe Gawar' teenagers go out for clubbing post pictures or videos but then the… https://t.co/dk98laIWYn,0,0,Tue Jan 25 18:27:09 +0000 2022
5,1486036131330215936,"Another new study on the same topic.
It found ""slight but statistically significant increases in weekly and daily s… https://t.co/04b1seruIL",0,0,Tue Jan 25 17:59:57 +0000 2022
6,1486034546466295808,RT : The data comes from the Centre for Addiction and Mental Health’s ninth national survey with technology company Delvinia on…,0,2,Tue Jan 25 17:53:39 +0000 2022
7,1486028833010692111,The Connection Between Mental Health and COVID-19 https://t.co/VhegBb1aBT #mentalhealth #mooddisorder #COVID19… https://t.co/rScD3GtCdY,1,0,Tue Jan 25 17:30:57 +0000 2022
8,1486024345440993281, My concern and agreeable concern for teachers and students who are truly trying at Anacostia high… https://t.co/j3gBZ6WEpu,0,0,Tue Jan 25 17:13:07 +0000 2022
9,1486023949284642816,"RT : Raising Teens in New Age of Anxiety: Great to see my feature on Dr. Erica Komisar's new book, Chicken Little, The Sky Isn't…",0,3,Tue Jan 25 17:11:33 +0000 2022
