,text
0,Me fighting COVID anxiety while enjoying Station Eleven:  https://t.co/un8ejB3iaQ
1,It’s been nearly two years and I haven’t contracted COVID. I would like to thank god for giving me anxiety so I don’t leave the house regardless of a pandemic.
2,Just Got Off The Phone Wit Bro He Is Still Pushing Thru COVID🥺🙏🏽 He Will Call Me Off That Prison 📱 Day Or Night Just To Ease My Anxiety Having COVID While Incarcerated Is No Joke Along With Everything Else You Fight😮‍💨. I Step Behind My Bros No Hesitation. 😤💪🏽💯
3,"Exactly a year ago I tested positive for COVID. I now have anxiety, depression, pre-diabetes, extremely low vitamin D levels, my smell and taste are STILL distorted, I can’t stand at work for 12 hours like I used to without nearly passing out. But 99% recovery huh. 🙄"
4,I just want my test results 😤😤😤 the anxiety is brutal! #Bad #COVID
5,sometimes i wonder if my anxiety would've also gotten this bad if covid never happened cuz i doubt it 🤡
6," Getting a mostly positive response to my GoFundMe. I opened up about living with Autism, ADHD, anxiety and depression, whilst recovering from long covid. It was a really big deal to be able to open up and talk honestly about my challenges. #notalonetalk"
7,Went from mild anxiety about rising covid cases to realizing nobody in Tokyo gives af anymore so neither should I
8,How do I tell the guy singing on the U8 that he’s a public health threat?
9,I guess on the bright side not being able to go minimizes my risk of getting COVID. Plus I’m still struggling to get my anxiety under control so this gives me one less thing to worry about.
10,  Vaccinated or not...you can still get and pass on Covid ... this is a fact. So why are YOU disrupting our supply chain causing so much anxiety among Canadians??
11,nothing as sweet as the complete anti-FOMO you get when everybody is staying home because the weather is trash and the COVID anxiety is high as hell ... yessir I will just be here reading my little books and making my little soups
12,"I went to a party last Saturday where I spent 90% of the time outside in 30 degree weather and still have spent the past few days freaking out that I somehow caught COVID, if y'all were wondering how the anxiety has been going"
13,"Most cited reasons for NOT wanting to return to campus (this was a ""check all that apply question""): 1) COVID/health concerns for themselves - 76% 2) COVID/health concerns for others at home - 61% 3) General inconvenience (transportation etc.) - 58% 4) Social anxiety - 42%"
14,"While in undergrad because of covid,&amp; i don't know how to even get into a lab now. I know part of it is just that I have depression&amp;anxiety, but a huge part of it is environmental. I don't want to live in a place where all people care about is working &amp; people don't care about"
15,no but i could’ve been diagnosed with hyperthyroidism sooner if the doctor stopped blaming my anxiety for everything. hyperthyroidism? yea u have that raven but u cant get treatment cuz it’s just anxiety. covid? yea ur positive but it’s just the anxiety giving you fever n sicknes
16,Day seven of isolation:  Is this the regular anxiety and depressive episodes that I get when healthy or is this COVID? A Memoir in Tears and Torn Out Hair
17,Covid makes traveling so difficult. The unknown. The anxiety. The preparation. Especially out the country. 😭
18," Right - if I had to guess, I'd say - there's a decent chance that I would get Covid in the next year - let's say 10 - 20% chance.    What's my level of anxiety over that?    None.  Zip.  Zero.  Nada.  I figure it eventually happen, and I figure I'm well protected."
19,"   More than 1 in 3 patients had at least 1 symptom 3 to 6 months afterward COVID-19. Lingering long-haul symptoms can affect multiple organ systems: shortness of breath, cough, fever, fatigue, depression, anxiety, joint &amp; muscle pain, headache and brain fog.  https://t.co/TmgpGm5yiP"
20," Well, I'm not dealing with the same grief right now, but I think COVID anxiety/depression have a tie to food.   For me,  some days my diet is grasping at straws for any sense of control, other days it's reaching for comfort when I need to break from responsibility/stress."
21,"She’s seriously comparing deleting emails to the absolute disruption, abuse, chaos, frustration, depression, anxiety, uncertainty, heartache, damage and destruction of government central planning, medical tyranny and corruption of the Covid Industrial Complex."
